taux_de_reussite_g;nombre_eleves_segpa;nombre_eleves_ulis;garcons;filles
86.0;61;11;394;374
76.0;16;11;214;206
82.0;48;14;319;335
84.0;58;13;322;290
91.0;64;10;357;302
94.0;49;13;260;300
88.0;61;13;332;285
91.0;113;23;641;640
96.0;40;7;256;286
98.0;37;11;293;262
94.0;65;10;267;235
91.0;59;12;405;375
95.0;37;12;482;375
80.0;64;27;314;350
92.0;65;12;322;261
83.0;65;8;390;345
91.0;52;24;320;304
75.0;65;6;286;303
91.0;45;16;370;363
82.0;98;23;405;331
81.0;60;2;233;180
70.0;56;10;195;189
97.0;54;17;446;391
93.0;35;13;196;180
92.0;31;12;270;256
85.0;105;15;501;427
70.0;77;11;193;210
90.0;125;12;509;434
99.0;55;24;205;158
87.0;61;14;260;214
94.0;28;13;286;274
91.0;57;14;302;239
85.0;56;10;290;257
90.0;65;27;299;230
87.0;42;14;296;311
85.0;54;12;307;258
86.0;53;14;389;371
78.0;61;13;265;282
93.0;94;26;656;584
99.0;64;16;472;446
90.0;102;6;266;236
92.0;60;14;317;312
82.0;62;11;352;360
80.0;58;13;389;334
91.0;46;12;206;201
83.0;89;12;324;303
74.0;78;10;355;282
98.0;61;12;451;395
93.0;145;18;421;448
64.0;56;14;323;330
73.0;114;12;370;296
94.0;59;13;191;175
86.0;44;14;284;265
92.0;40;13;193;173
81.0;56;13;393;398
95.0;58;21;233;192
92.0;57;17;256;240
92.0;11;11;354;330
98.0;34;9;302;325
80.0;37;9;208;224
92.0;85;12;344;309
95.0;64;11;326;356
90.0;95;14;369;347
86.0;56;15;527;465
69.0;93;14;315;257
95.0;107;12;443;416
93.0;51;17;430;420
90.0;64;13;287;270
87.0;60;10;419;435
92.0;64;24;326;216
87.0;63;12;285;292
70.0;43;15;182;178
81.0;53;20;390;377
87.0;76;12;269;236
85.0;50;14;288;281
93.0;110;13;660;586
88.0;57;15;359;344
72.0;57;25;224;215
100.0;47;14;324;265
99.0;64;16;470;461
78.0;62;12;193;139
75.0;83;17;267;282
86.0;95;18;353;285
92.0;56;11;322;287
86.0;56;12;356;335
84.0;54;11;147;131
64.0;56;12;243;236
87.0;59;13;265;228
88.0;75;15;280;265
83.0;63;10;242;207
84.0;63;12;343;335
74.0;60;13;269;259
86.0;58;10;369;321
82.0;58;14;274;256
93.0;57;14;327;335
81.0;67;16;342;362
81.0;48;27;261;259
93.0;50;21;268;296
86.0;63;14;362;324
81.0;50;13;237;266
95.0;59;11;246;235
90.0;58;15;310;304
71.0;63;12;324;322
92.0;60;12;261;286
78.0;51;13;310;295
88.0;54;13;328;314
97.0;28;11;199;199
95.0;57;21;417;388
76.0;18;12;202;199
79.0;63;27;192;168
88.0;47;18;459;400
82.0;48;13;280;224
91.0;70;10;260;247
96.0;69;11;432;337
78.0;50;14;243;248
89.0;30;23;419;384
98.0;40;29;270;202
85.0;89;13;249;257
67.0;30;13;285;241
83.0;55;13;317;285
97.0;76;18;290;221
96.0;38;8;139;175
99.0;86;13;308;307
79.0;93;13;295;260
83.0;35;17;238;243
83.0;57;7;282;284
78.0;102;13;297;251
94.0;58;12;353;345
77.0;61;12;284;269
100.0;62;12;402;335
83.0;64;13;321;278
79.0;64;12;193;189
94.0;24;8;242;230
80.0;71;14;434;400
84.0;93;14;356;338
87.0;26;9;233;208
89.0;81;17;194;186
92.0;38;12;292;220
98.0;42;13;188;212
89.0;37;12;482;375
75.0;63;12;291;315
95.0;48;11;409;372
91.0;60;14;410;382
93.0;44;11;411;289
80.0;34;9;444;428
92.0;64;10;492;459
89.0;40;13;287;249
94.0;124;12;226;212
91.0;46;24;323;360
73.0;55;12;319;278
89.0;61;12;418;366
84.0;128;12;445;402
83.0;55;11;354;320
89.0;43;14;275;248
85.0;27;10;324;294
72.0;61;14;324;304
85.0;58;13;311;318
74.0;88;11;372;375
91.0;52;15;385;322
83.0;8;9;192;190
93.0;40;13;287;249
87.0;71;7;249;227
92.0;56;14;241;233
88.0;74;11;356;331
80.0;91;25;342;340
87.0;49;22;279;282
87.0;26;11;235;223
94.0;98;12;456;434
88.0;60;12;306;276
100.0;63;12;187;184
83.0;99;25;376;360
79.0;61;12;279;248
79.0;52;10;191;183
87.0;56;12;356;335
86.0;62;21;415;373
86.0;53;12;238;255
66.0;64;8;293;303
97.0;55;18;408;355
79.0;36;9;295;283
82.0;60;13;347;353
84.0;72;12;251;234
89.0;64;12;306;258
81.0;63;11;321;291
80.0;71;14;449;413
93.0;33;10;250;274
84.0;52;13;331;312
96.0;40;13;320;384
79.0;55;13;235;194
86.0;58;13;307;268
61.0;58;19;312;299
90.0;50;13;383;358
92.0;16;8;184;160
95.0;61;12;350;333
95.0;49;19;446;362
91.0;63;11;427;391
89.0;63;22;280;267
95.0;60;12;274;284
94.0;62;14;296;284
89.0;40;11;334;349
90.0;56;11;278;279
81.0;62;10;271;259
93.0;112;13;374;325
96.0;54;13;289;258
90.0;65;11;361;312
70.0;50;14;222;229
91.0;83;24;389;344
84.0;66;12;286;304
97.0;52;10;275;260
87.0;54;13;451;436
69.0;56;11;381;397
81.0;61;12;284;274
82.0;72;18;422;397
92.0;93;13;346;335
94.0;41;12;461;488
68.0;64;12;332;325
82.0;62;13;596;433
87.0;44;11;273;258
88.0;82;17;280;232
92.0;56;13;407;371
84.0;58;11;236;250
79.0;35;26;233;262
89.0;94;12;263;252
92.0;63;12;479;454
97.0;57;13;112;112
88.0;28;3;179;156
95.0;50;27;400;323
93.0;57;17;238;242
77.0;62;9;355;346
87.0;28;13;241;266
91.0;78;19;385;361
85.0;127;11;392;354
95.0;62;12;240;204
81.0;54;15;337;312
90.0;103;11;255;225
93.0;50;14;373;328
90.0;50;3;330;305
82.0;64;13;330;334
86.0;117;11;359;277
92.0;50;12;243;222
81.0;40;10;265;239
94.0;19;10;201;167
81.0;49;14;297;259
79.0;41;12;288;267
86.0;61;6;316;315
91.0;69;11;390;395
73.0;58;14;347;363
88.0;58;10;336;311
93.0;33;11;197;206
79.0;59;18;189;146
81.0;26;18;236;238
78.0;52;11;284;214
87.0;60;12;299;282
85.0;59;21;470;454
